Date,Open,High,Low,Close,Adj Close,Volume
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.7256875038146973,7436400
1997-10-17,5.65625,5.75,5.40625,5.59375,3.664271354675293,3390400
1997-10-20,5.5,5.625,5.46875,5.53125,3.6233301162719727,3068000
1997-10-21,5.5625,5.6875,5.5,5.59375,3.664271354675293,2382400
1997-10-22,5.6875,5.75,5.59375,5.71875,3.746157169342041,1525200
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.664271354675293,1622400
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.746157169342041,813600
1997-10-27,5.65625,5.75,5.375,5.421875,3.551682710647583,1507200
1997-10-28,5.25,5.6875,4.9375,5.59375,3.664271354675293,2955600
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.7052152156829834,1859200
1997-10-30,5.53125,5.5625,5.375,5.5,3.60286021232605,856000
1997-10-31,5.4375,5.640625,5.4375,5.5,3.60286021232605,561600
1997-11-03,5.625,5.84375,5.53125,5.734375,3.7563934326171875,1004000
1997-11-04,5.75,5.875,5.6875,5.78125,3.7870967388153076,364000
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.86898136138916,324400
1997-11-06,5.875,6.25,5.875,6.25,4.094159126281738,361600
1997-11-07,6.1875,6.625,6.03125,6.4375,4.216984748840332,662400
1997-11-10,6.3125,6.5,6.15625,6.15625,4.032748222351074,266800
1997-11-11,5.9375,6.0,5.75,6.0,3.930392026901245,618000
1997-11-12,6.0,6.0,5.5625,5.6875,3.7256875038146973,314800
1997-11-13,5.5625,5.625,5.46875,5.5,3.60286021232605,500000
1997-11-14,5.4375,5.5,5.3125,5.4375,3.5619194507598877,438000
1997-11-17,5.5,5.84375,5.5,5.8125,3.8075671195983887,284000
1997-11-18,5.875,5.875,5.6875,5.71875,3.746157169342041,1429600
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.643801212310791,148400
1997-11-20,5.625,5.625,5.3125,5.5625,3.643801212310791,1268000
1997-11-21,5.5625,5.625,5.5,5.53125,3.6233301162719727,640800
