Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.0,21.125,20.75,20.875,1.2488889694213867,42000
1972-06-02,20.875,21.125,20.75,21.0,1.2563661336898804,17600
1972-06-05,21.0,21.25,20.875,20.875,1.2488889694213867,13200
1972-06-06,20.75,20.75,20.5,20.625,1.2497974634170532,15700
1972-06-07,20.625,20.75,20.625,20.625,1.2497974634170532,5000
1972-06-08,20.625,20.875,20.375,20.375,1.2346489429473877,32900
1972-06-09,20.375,20.5,20.25,20.25,1.2270734310150146,18500
1972-06-12,20.25,20.625,20.25,20.5,1.242222547531128,10600
1972-06-13,20.5,20.5,20.0,20.25,1.2270734310150146,38400
1972-06-14,20.125,20.125,19.75,19.75,1.1967755556106567,126800
1972-06-15,19.75,19.875,19.75,19.875,1.2043499946594238,14100
1972-06-16,19.875,19.875,19.625,19.875,1.2043499946594238,9000
1972-06-19,19.875,20.0,19.75,19.875,1.2043499946594238,8500
1972-06-20,19.875,19.875,19.625,19.625,1.1892008781433105,40600
1972-06-21,19.625,19.875,19.375,19.375,1.1740516424179077,57000
1972-06-22,19.375,19.625,19.375,19.625,1.1892008781433105,23700
1972-06-23,19.625,19.625,19.375,19.625,1.1892008781433105,53000
1972-06-26,19.625,19.75,19.375,19.5,1.1816259622573853,14400
1972-06-27,19.5,19.5,19.375,19.5,1.1816259622573853,14200
1972-06-28,19.5,19.875,19.375,19.875,1.2043499946594238,21000
1972-06-29,19.875,20.0,19.625,19.875,1.2043499946594238,13300
1972-06-30,19.875,20.375,19.875,20.25,1.2270734310150146,47100
1972-07-03,20.25,20.5,20.0,20.25,1.2270734310150146,7300
1972-07-05,20.5,21.0,20.5,20.875,1.2649458646774292,22400
1972-07-06,20.875,21.375,20.875,21.375,1.295243740081787,15300
1972-07-07,21.375,21.625,21.25,21.625,1.3103934526443481,23900
1972-07-10,21.625,21.875,21.375,21.75,1.3179678916931152,25600
1972-07-11,21.5,21.5,21.125,21.125,1.2800953388214111,14400
1972-07-12,21.125,21.625,21.125,21.375,1.295243740081787,4800
1972-07-13,21.375,21.625,21.125,21.125,1.2800953388214111,6000
1972-07-14,21.125,21.5,21.0,21.25,1.2876700162887573,10600
1972-07-17,21.25,21.375,21.0,21.125,1.2800953388214111,12300
1972-07-18,20.875,20.875,20.625,20.625,1.2497974634170532,4400
1972-07-19,20.625,20.75,20.5,20.5,1.242222547531128,9300
1972-07-20,20.5,20.75,20.5,20.625,1.2497974634170532,7500
1972-07-21,20.625,20.875,20.5,20.875,1.2649458646774292,5500
1972-07-24,20.875,21.0,20.625,20.875,1.2649458646774292,12600
1972-07-25,20.875,21.125,20.5,20.75,1.2573713064193726,67600
1972-07-26,20.75,21.0,20.625,20.625,1.2497974634170532,13800
1972-07-27,20.625,20.75,20.375,20.375,1.2346489429473877,9900
1972-07-28,20.625,20.75,20.625,20.625,1.2497974634170532,14300
1972-07-31,20.625,20.625,20.25,20.375,1.2346489429473877,2800
1972-08-01,20.375,20.375,20.25,20.375,1.2346489429473877,9000
1972-08-02,20.375,20.75,20.25,20.25,1.2270734310150146,32100
1972-08-03,20.25,20.375,20.0,20.0,1.211923599243164,10700
1972-08-04,20.0,20.125,20.0,20.0,1.211923599243164,10500
1972-08-07,20.0,20.125,19.625,19.625,1.1892008781433105,87100
1972-08-08,19.625,19.75,19.5,19.75,1.1967755556106567,40600
1972-08-09,19.75,19.875,19.5,19.625,1.1892008781433105,17100
1972-08-10,19.625,19.75,19.375,19.625,1.1892008781433105,17200
1972-08-11,19.625,19.875,19.625,19.75,1.1967755556106567,19600
1972-08-14,19.75,19.875,19.625,19.875,1.2043499946594238,11200
1972-08-15,19.875,20.0,19.875,19.875,1.2043499946594238,25100
1972-08-16,19.875,20.0,19.875,20.0,1.211923599243164,37800
1972-08-17,20.0,20.25,20.0,20.125,1.2194992303848267,17500
1972-08-18,20.125,20.875,20.125,20.75,1.2573713064193726,51800
1972-08-21,21.0,21.375,21.0,21.25,1.2876700162887573,12800
1972-08-22,21.375,21.875,21.375,21.625,1.3103934526443481,40400
1972-08-23,21.75,22.0,21.75,21.75,1.3179678916931152,17600
1972-08-24,21.875,22.75,21.875,22.5,1.3634147644042969,64400
1972-08-25,22.5,22.75,22.25,22.375,1.3558400869369507,18500
1972-08-28,22.375,22.625,22.25,22.5,1.3634147644042969,28300
1972-08-29,22.5,22.5,22.375,22.5,1.3634147644042969,7700
1972-08-30,22.625,22.875,22.625,22.75,1.3785641193389893,19500
1972-08-31,22.75,22.75,22.375,22.375,1.3558400869369507,12100
