Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.546875,4.546875,4.546875,4.546875,2.4581375122070312,20000
1973-02-22,4.578125,4.578125,4.578125,4.578125,2.4750306606292725,6400
1973-02-23,4.734375,4.734375,4.734375,4.734375,2.559501886367798,43200
1973-02-26,4.734375,4.734375,4.734375,4.734375,2.559501886367798,4800
1973-02-27,4.671875,4.671875,4.671875,4.671875,2.5257151126861572,1600
1973-02-28,4.625,4.625,4.625,4.625,2.500372886657715,65600
1973-03-01,4.640625,4.640625,4.640625,4.640625,2.5088210105895996,3200
1973-03-02,4.625,4.625,4.625,4.625,2.500372886657715,1600
1973-03-05,4.59375,4.59375,4.59375,4.59375,2.483478546142578,14400
1973-03-06,4.609375,4.609375,4.609375,4.609375,2.4919259548187256,108000
1973-03-07,4.5,4.5,4.5,4.5,2.4327950477600098,36000
1973-03-08,4.5,4.5,4.5,4.5,2.4327950477600098,8000
1973-03-09,4.375,4.375,4.375,4.375,2.365217447280884,16800
1973-03-12,4.25,4.25,4.25,4.25,2.297640800476074,17600
1973-03-13,4.3125,4.3125,4.3125,4.3125,2.3314287662506104,14400
1973-03-14,4.265625,4.265625,4.265625,4.265625,2.306086301803589,13600
1973-03-15,4.25,4.25,4.25,4.25,2.297640800476074,28000
1973-03-16,4.25,4.25,4.25,4.25,2.297640800476074,121600
1973-03-19,4.265625,4.265625,4.265625,4.265625,2.306086301803589,16800
1973-03-20,4.21875,4.21875,4.21875,4.21875,2.2807438373565674,20000
1973-03-21,4.15625,4.15625,4.15625,4.15625,2.2469563484191895,16800
1973-03-22,3.890625,3.890625,3.890625,3.890625,2.1033551692962646,16000
1973-03-23,3.8125,3.8125,3.8125,3.8125,2.061119556427002,44000
1973-03-26,3.78125,3.78125,3.78125,3.78125,2.044222831726074,25600
1973-03-27,4.0,4.0,4.0,4.0,2.1624839305877686,25600
1973-03-28,4.234375,4.234375,4.234375,4.234375,2.289191961288452,12800
1973-03-29,4.375,4.375,4.375,4.375,2.365217447280884,25600
1973-03-30,4.375,4.375,4.375,4.375,2.365217447280884,35200
1973-04-02,4.34375,4.34375,4.34375,4.34375,2.348325490951538,16000
1973-04-03,4.203125,4.203125,4.203125,4.203125,2.272298574447632,127200
1973-04-04,4.09375,4.09375,4.09375,4.09375,2.213167905807495,32800
1973-04-05,4.0,4.0,4.0,4.0,2.1624839305877686,29600
1973-04-06,3.90625,3.90625,3.90625,3.90625,2.1118013858795166,55200
1973-04-09,4.03125,4.03125,4.03125,4.03125,2.179379463195801,36000
1973-04-10,4.125,4.125,4.125,4.125,2.230062484741211,12000
1973-04-11,4.125,4.125,4.125,4.125,2.230062484741211,53600
1973-04-12,4.125,4.125,4.125,4.125,2.230062484741211,16000
1973-04-13,4.09375,4.09375,4.09375,4.09375,2.213167905807495,12000
1973-04-16,3.96875,3.96875,3.96875,3.96875,2.145590305328369,24000
1973-04-17,4.03125,4.03125,4.03125,4.03125,2.179379463195801,12800
1973-04-18,4.03125,4.03125,4.03125,4.03125,2.179379463195801,2400
1973-04-19,4.0625,4.0625,4.0625,4.0625,2.196274518966675,25600
1973-04-23,4.125,4.125,4.125,4.125,2.230062484741211,10400
1973-04-24,4.0625,4.0625,4.0625,4.0625,2.196274518966675,3200
1973-04-25,4.0625,4.0625,4.0625,4.0625,2.196274518966675,12800
1973-04-26,4.09375,4.09375,4.09375,4.09375,2.213167905807495,25600
1973-04-27,4.078125,4.078125,4.078125,4.078125,2.2047197818756104,4000
1973-04-30,4.015625,4.015625,4.015625,4.015625,2.170931339263916,20000
1973-05-01,3.8125,3.8125,3.8125,3.8125,2.061119556427002,41600
