Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,9.1875,9.125,9.125,2.94173002243042,41600
1980-03-18,0.0,9.125,9.09375,9.09375,2.931657075881958,29200
1980-03-19,0.0,9.25,9.09375,9.25,2.982029676437378,25600
1980-03-20,0.0,9.40625,9.25,9.28125,2.9921021461486816,48000
1980-03-21,0.0,9.34375,9.125,9.15625,2.951805830001831,87600
1980-03-24,0.0,9.21875,9.125,9.125,2.94173002243042,25600
1980-03-25,0.0,9.09375,9.0625,9.0625,2.9215831756591797,72400
1980-03-26,0.0,9.0625,8.84375,8.90625,2.8712103366851807,20400
1980-03-27,0.0,8.75,8.25,8.3125,2.679795503616333,44800
1980-03-28,0.0,8.5,8.375,8.375,2.699944257736206,40000
1980-03-31,0.0,8.4375,8.1875,8.4375,2.7200934886932373,48400
1980-04-01,0.0,8.5625,8.3125,8.5625,2.7603907585144043,60000
1980-04-02,0.0,8.75,8.53125,8.71875,2.8107621669769287,42000
1980-04-03,0.0,8.625,8.5,8.59375,2.7704665660858154,20800
1980-04-07,0.0,8.6875,8.5,8.5,2.740241050720215,32400
1980-04-08,0.0,8.6875,8.5,8.6875,2.800689697265625,27600
1980-04-09,0.0,8.71875,8.59375,8.71875,2.8107621669769287,18000
1980-04-10,0.0,8.9375,8.8125,8.90625,2.8712103366851807,29200
1980-04-11,0.0,9.0625,8.90625,9.0625,2.9215831756591797,28000
1980-04-14,0.0,9.0625,8.875,8.875,2.8611366748809814,29200
1980-04-15,0.0,8.875,8.625,8.6875,2.800689697265625,25600
1980-04-16,0.0,8.6875,8.5625,8.5625,2.7603907585144043,40400
1980-04-17,0.0,8.6875,8.4375,8.6875,2.800689697265625,29200
1980-04-18,0.0,8.875,8.65625,8.75,2.820838212966919,30400
1980-04-21,0.0,8.875,8.75,8.75,2.820838212966919,8800
1980-04-22,0.0,9.03125,8.75,9.03125,2.9115071296691895,26400
1980-04-23,0.0,9.125,9.0,9.0625,2.9215831756591797,5600
1980-04-24,0.0,9.25,9.0,9.21875,2.971953868865967,86800
1980-04-25,0.0,9.21875,9.15625,9.21875,2.971953868865967,4800
1980-04-28,0.0,9.15625,9.0,9.0625,2.9215831756591797,15200
1980-04-29,0.0,9.1875,9.0,9.09375,2.931657075881958,17600
1980-04-30,0.0,9.15625,9.03125,9.09375,2.931657075881958,29600
1980-05-01,0.0,9.15625,8.90625,8.90625,2.8712103366851807,19200
1980-05-02,0.0,9.0625,8.90625,9.0,2.901432514190674,83200
1980-05-05,0.0,9.0,8.9375,9.0,2.901432514190674,79600
1980-05-06,0.0,9.25,9.03125,9.25,2.982029676437378,79200
1980-05-07,0.0,9.65625,9.34375,9.5625,3.082770347595215,173600
1980-05-08,0.0,9.59375,9.3125,9.40625,3.032399892807007,112400
1980-05-09,0.0,9.40625,9.09375,9.09375,2.931657075881958,34400
1980-05-12,0.0,9.1875,9.0625,9.125,2.94173002243042,12800
1980-05-13,0.0,9.21875,9.0625,9.0625,2.9215831756591797,34800
1980-05-14,0.0,9.28125,9.03125,9.25,2.982029676437378,48400
1980-05-15,0.0,9.25,9.21875,9.25,2.982029676437378,26400
1980-05-16,0.0,9.25,9.125,9.21875,2.971953868865967,30800
1980-05-19,0.0,9.21875,9.15625,9.15625,2.951805830001831,20800
1980-05-20,0.0,9.25,9.21875,9.21875,2.971953868865967,65600
1980-05-21,0.0,9.3125,9.1875,9.21875,2.971953868865967,47200
1980-05-22,0.0,9.3125,9.21875,9.28125,2.9921021461486816,32800
1980-05-23,0.0,9.625,9.375,9.59375,3.092846632003784,46000
1980-05-27,0.0,9.75,9.5625,9.625,3.102921485900879,76400
1980-05-28,0.0,9.6875,9.625,9.65625,3.1129961013793945,72000
1980-05-29,0.0,9.71875,9.625,9.625,3.102921485900879,223600
1980-05-30,0.0,9.71875,9.625,9.6875,3.123070001602173,58800
1980-06-02,0.0,9.71875,9.625,9.625,3.102921485900879,26800
1980-06-03,0.0,9.71875,9.59375,9.71875,3.133145332336426,12000
1980-06-04,0.0,9.84375,9.6875,9.8125,3.1633670330047607,87200
1980-06-05,0.0,9.96875,9.84375,9.875,3.1835155487060547,47200
1980-06-06,0.0,10.0,9.8125,10.0,3.2238144874572754,40400
1980-06-09,0.0,10.0625,9.875,9.9375,3.2036662101745605,24400
1980-06-10,0.0,10.15625,10.0625,10.0625,3.243964433670044,56800
1980-06-11,0.0,10.1875,10.0625,10.15625,3.274186134338379,24400
1980-06-12,0.0,10.5,10.15625,10.25,3.304409980773926,56400
1980-06-13,0.0,10.53125,10.21875,10.53125,3.395080089569092,28800
1980-06-16,0.0,10.5625,10.5,10.5625,3.4051551818847656,56800
1980-06-17,0.0,10.6875,10.5625,10.65625,3.4353761672973633,48400
1980-06-18,0.0,10.59375,10.53125,10.59375,3.4152274131774902,20000
1980-06-19,0.0,10.59375,10.53125,10.53125,3.395080089569092,24400
1980-06-20,0.0,10.53125,10.4375,10.4375,3.364856719970703,91200
1980-06-23,0.0,10.4375,10.375,10.375,3.3447084426879883,20000
1980-06-24,0.0,10.5625,10.375,10.46875,3.3749301433563232,13600
1980-06-25,0.0,10.5625,10.4375,10.5625,3.4051551818847656,17600
1980-06-26,0.0,10.59375,10.375,10.40625,3.3547825813293457,20000
1980-06-27,0.0,10.40625,10.34375,10.40625,3.3547825813293457,10400
1980-06-30,0.0,10.4375,10.3125,10.3125,3.3245601654052734,43600
1980-07-01,0.0,10.5,10.3125,10.4375,3.364856719970703,78800
1980-07-02,0.0,10.625,10.375,10.5625,3.4051551818847656,20800
1980-07-03,0.0,10.5,10.4375,10.4375,3.364856719970703,26400
1980-07-07,0.0,10.5,10.4375,10.4375,3.364856719970703,20800
1980-07-08,0.0,10.625,10.53125,10.625,3.4253034591674805,30800
1980-07-09,0.0,10.6875,10.5625,10.625,3.4253034591674805,111600
1980-07-10,0.0,10.5625,10.4375,10.4375,3.364856719970703,24800
1980-07-11,0.0,10.5,10.34375,10.5,3.3850057125091553,90400
1980-07-14,0.0,10.625,10.46875,10.625,3.4253034591674805,12800
1980-07-15,0.0,10.875,10.65625,10.75,3.465601921081543,50400
1980-07-16,0.0,10.875,10.625,10.875,3.5058979988098145,46000
1980-07-17,0.0,10.875,10.75,10.75,3.465601921081543,5200
1980-07-18,0.0,10.875,10.75,10.84375,3.4958229064941406,44800
1980-07-21,0.0,10.84375,10.75,10.78125,3.475675106048584,38800
1980-07-22,0.0,10.9375,10.75,10.75,3.465601921081543,58400
1980-07-23,0.0,11.4375,10.71875,11.28125,3.636866331100464,72000
1980-07-24,0.0,11.8125,11.3125,11.375,3.6670875549316406,62400
1980-07-25,0.0,11.25,10.96875,11.0625,3.5663442611694336,76000
1980-07-28,0.0,11.0,10.84375,11.0,3.546196460723877,95200
1980-07-29,0.0,11.09375,10.9375,10.9375,3.5260467529296875,21600
1980-07-30,0.0,10.90625,10.8125,10.8125,3.4857497215270996,51200
